GeoID,Years,GeoType,TotalPop,PctRural,PctAge65plus,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns,N_BINGE,N_CSMOKING,N_LPA,N_OBESITY,N_CERVICAL,N_MAMMOUSE,N_COLON_SCREEN,N_COREM,N_COREW,N_CHECKUP,RPL_EJI,RPL_SVI
34007,05yrs,County,513657,1.62,15.34593577,39.72,14.24,18.45,5.09,10.91,10.91,12.1,30.2,13.23,10.7,16.99919577,16.27962006,27.424676,31.28005731,83.38595308,75.2793331,66.99171782,44.92657824,33.18935613,74.88929675,0.8,0.6
34007,10yrs,County,513657,1.62,15.34593577,39.72,14.24,18.45,5.09,10.91,10.91,12.1,30.2,13.23,10.7,16.99919577,16.27962006,27.424676,31.28005731,83.38595308,75.2793331,66.99171782,44.92657824,33.18935613,74.88929675,0.8,0.6
34009,01yr,County,97265,17.45,25.83611821,13.1,6.22,4.36,0.87,5.58,10.98,10.5,29.9,10.42,8.8,16.63003547,15.04951524,24.69600576,32.4502596,81.69512569,76.05299028,72.55867578,48.96026011,40.69495708,77.95297383,0.55,0.5
34009,05yrs,County,97265,17.45,25.83611821,13.1,6.22,4.36,0.87,5.58,10.98,10.5,29.9,10.42,8.8,16.63003547,15.04951524,24.69600576,32.4502596,81.69512569,76.05299028,72.55867578,48.96026011,40.69495708,77.95297383,0.55,0.5
34009,10yrs,County,97265,17.45,25.83611821,13.1,6.22,4.36,0.87,5.58,10.98,10.5,29.9,10.42,8.8,16.63003547,15.04951524,24.69600576,32.4502596,81.69512569,76.05299028,72.55867578,48.96026011,40.69495708,77.95297383,0.55,0.5
34011,01yr,County,156898,23.03,14.99834335,49.69,27.06,18.72,1.2,10.4,13.62,22.5,14.6,17.85,13.4,16.98278436,19.97899909,35.29368316,38.63295899,79.87574475,75.86476337,63.71330928,38.41780392,28.08972209,73.62162551,0.9,1
34011,05yrs,County,156898,23.03,14.99834335,49.69,27.06,18.72,1.2,10.4,13.62,22.5,14.6,17.85,13.4,16.98278436,19.97899909,35.29368316,38.63295899,79.87574475,75.86476337,63.71330928,38.41780392,28.08972209,73.62162551,0.9,1
34011,10yrs,County,156898,23.03,14.99834335,49.69,27.06,18.72,1.2,10.4,13.62,22.5,14.6,17.85,13.4,16.98278436,19.97899909,35.29368316,38.63295899,79.87574475,75.86476337,63.71330928,38.41780392,28.08972209,73.62162551,0.9,1
34013,01yr,County,783969,0.01,13.43965909,66.81,20.3,39.33,4.52,25.52,10.7,15.8,32.7,17.31,16.2,15.45922696,14.62805226,28.31461295,32.83245358,82.15324624,80.51451103,69.50710475,35.59450221,33.20416432,76.36881548,1,0.95
34013,05yrs,County,783969,0.01,13.43965909,66.81,20.3,39.33,4.52,25.52,10.7,15.8,32.7,17.31,16.2,15.45922696,14.62805226,28.31461295,32.83245358,82.15324624,80.51451103,69.50710475,35.59450221,33.20416432,76.36881548,1,0.95
34013,10yrs,County,783969,0.01,13.43965909,66.81,20.3,39.33,4.52,25.52,10.7,15.8,32.7,17.31,16.2,15.45922696,14.62805226,28.31461295,32.83245358,82.15324624,80.51451103,69.50710475,35.59450221,33.20416432,76.36881548,1,0.95
34015,01yr,County,288288,8.35,15.38914121,18.94,4.76,9.68,2.63,5.45,10.27,8.4,29.3,8.11,7.5,18.25138334,14.4807453,21.69699571,31.50395195,85.38234023,76.11809753,66.48412629,45.29145993,35.99238747,74.16725046,0.2,0.2
34015,05yrs,County,288288,8.35,15.38914121,18.94,4.76,9.68,2.63,5.45,10.27,8.4,29.3,8.11,7.5,18.25138334,14.4807453,21.69699571,31.50395195,85.38234023,76.11809753,66.48412629,45.29145993,35.99238747,74.16725046,0.2,0.2
34015,10yrs,County,288288,8.35,15.38914121,18.94,4.76,9.68,2.63,5.45,10.27,8.4,29.3,8.11,7.5,18.25138334,14.4807453,21.69699571,31.50395195,85.38234023,76.11809753,66.48412629,45.29145993,35.99238747,74.16725046,0.2,0.2
